billede,gruppe,flyt_px,baand,note,dom
273101_001166,oeve,10,23,,ok
273101_001167,oeve,14,23,,ok
273101_001168,oeve,21,23,,ok
273101_001169,oeve,18,23,,ok
273102_001064,oeve,18,24,,ok
273102_001065,oeve,7,22,,ok
273102_001066,oeve,10,24,,ok
273102_001067,oeve,10,24,,ok
273102_001068,oeve,18,23,,ok
273102_001069,oeve,1,23,,ok
273102_001070,oeve,25,24,,ok
273103_001436,oeve,146,15,,ok
273103_001437,oeve,19,20,,ok
273103_001438,oeve,86,17,,ok
273103_001439,oeve,12,23,,ok
273103_001440,oeve,15,23,,ok
273103_001441,oeve,15,24,,ok
273103_001442,oeve,31,22,,ok
273103_001460,oeve,51,18,,ok
273103_001461,oeve,26,22,,ok
273103_001462,oeve,39,19,,ok
273103_001463,oeve,14,24,,ok
273103_001464,oeve,91,15,,ok
273103_001465,oeve,14,24,,ok
273103_001466,oeve,74,21,,ok
273103_001467,oeve,18,20,,ok
273103_001468,oeve,35,22,,ok
273103_001469,oeve,17,22,,ok
273103_001470,oeve,23,23,,ok
273103_001471,oeve,134,19,,ok
273104_001633,oeve,180,14,,ok
273104_001634,oeve,14,24,,ok
273104_001635,oeve,30,20,,ok
273105_001552,oeve,11,23,,ok
273105_001553,oeve,40,19,,nabo_let
273105_001554,oeve,13,21,,ok
273105_001568,oeve,13,24,,ok
273105_001569,oeve,6,21,,ok
273105_001570,oeve,15,24,,ok
273105_001571,oeve,17,23,,ok
273105_001572,oeve,11,24,,ok
273105_001573,oeve,12,24,,ok
273105_001574,oeve,23,24,,ok
273105_001644,oeve,4,24,,ok
273105_001645,oeve,8,20,,ok
273105_001646,oeve,37,17,,ok
273105_001707,oeve,9,23,,ok
273105_001708,oeve,131,15,,ok
273105_001709,oeve,143,16,,ok
273105_001710,oeve,8,24,,ok
273105_001711,oeve,18,24,,ok
273105_001712,oeve,25,22,,ok
273105_001713,oeve,23,20,,ok
273105_001714,oeve,16,22,,ok
273105_001715,oeve,6,24,,ok
273105_001716,oeve,27,21,,ok
273105_001717,oeve,6,24,,ok
273106_001693,oeve,19,21,,ok
273106_001694,oeve,15,23,,ok
273106_001695,oeve,16,20,,ok
273107_001863,oeve,20,20,,ok
273107_001864,oeve,8,22,,ok
273107_001865,oeve,137,14,,ok
273107_001866,oeve,7,23,,ok
273107_001867,oeve,11,24,,ok
273107_001868,oeve,7,24,,ok
273107_001869,oeve,13,23,,ok
273108_001537,oeve,8,23,,ok
273108_001538,oeve,6,24,,ok
273108_001539,oeve,21,21,,ok
273108_001553,oeve,8,24,,ok
273108_001554,oeve,2,23,,ok
273108_001555,oeve,6,22,,ok
273108_001556,oeve,10,24,,ok
273108_001557,oeve,3,24,,ok
273108_001558,oeve,9,24,,ok
273108_001559,oeve,9,24,,ok
273109_000081,oeve,20,22,,ok
273109_000082,oeve,6,24,,ok
273109_000083,oeve,47,23,,ok
273110_001525,oeve,11,22,,ok
273110_001526,oeve,8,23,,ok
273110_001527,oeve,26,24,,ok
273110_001528,oeve,5,24,,ok
273110_001529,oeve,7,22,,ok
273110_001530,oeve,8,23,,ok
273110_001531,oeve,16,20,,ok
273110_001532,oeve,9,23,,ok
273110_001533,oeve,22,21,,ok
273110_001534,oeve,228,15,,ok
273111_001370,oeve,92,14,,ok
273111_001371,oeve,11,24,,ok
273111_001372,oeve,13,21,,ok
273111_001374,oeve,46,18,,ok
273111_001375,oeve,8,24,,ok
273111_001376,oeve,7,24,,ok
273111_001377,oeve,4,24,,ok
273111_001378,oeve,51,16,,ok
273111_001379,oeve,6,24,,ok
273111_001380,oeve,39,20,,ok
273111_001381,oeve,10,23,,ok
37554_001413,oeve,8,23,,ok
37554_001414,oeve,13,24,,ok
37554_001415,oeve,11,22,,ok
37554_001491,oeve,16,23,,ok
37554_001492,oeve,13,24,,ok
37554_001493,oeve,157,15,,ok
37554_001494,oeve,-14,23,,ok
37554_001495,oeve,8,24,,ok
37554_001496,oeve,6,23,,ok
37554_001497,oeve,180,15,,ok
37554_001498,oeve,6,24,,ok
37554_001499,oeve,20,22,,ok
273012_000882,ekstra_uden_facit,16,22,,ok
273013_000954,ekstra_uden_facit,18,24,,ok
273014_000780,ekstra_uden_facit,23,24,,ok
273015_000616,ekstra_uden_facit,19,24,,ok
273016_000364,ekstra_uden_facit,3,23,,ok
273017_000200,ekstra_uden_facit,9,23,,ok
273023_000884,ekstra_uden_facit,116,14,,ok
273024_000262,ekstra_uden_facit,7,23,,ok
