billede,gruppe,flyt_px,inde,ude,note,dom
273111_001372,oeve,13,,,for lidt blaek,ok
273111_001374,oeve,46,0.567,0.398,,ok
273111_001375,oeve,8,0.383,0.444,,ok
273111_001376,oeve,7,0.739,0.389,,ok
273111_001377,oeve,4,,,for lidt blaek,ok
273111_001378,oeve,51,,,for lidt blaek,ok
273111_001379,oeve,6,,,for lidt blaek,ok
273111_001380,oeve,39,,,for lidt blaek,ok
273111_001381,oeve,10,,,for lidt blaek,ok
37554_001413,oeve,8,,,for lidt blaek,ok
37554_001414,oeve,13,,,for lidt blaek,ok
37554_001415,oeve,11,,,for lidt blaek,ok
37554_001491,oeve,16,0.616,0.59,,ok
37554_001492,oeve,13,,,for lidt blaek,ok
37554_001493,oeve,157,0.638,0.559,,ok
37554_001494,oeve,-14,,,for lidt blaek,ok
37554_001495,oeve,8,0.818,0.424,,ok
37554_001496,oeve,6,,,for lidt blaek,ok
37554_001497,oeve,180,0.654,0.651,,ok
37554_001498,oeve,6,,,for lidt blaek,ok
37554_001499,oeve,20,,,for lidt blaek,ok
273012_000882,ekstra_uden_facit,16,,,for lidt blaek,ok
273013_000954,ekstra_uden_facit,18,,,for lidt blaek,ok
273014_000780,ekstra_uden_facit,23,,,for lidt blaek,ok
273015_000616,ekstra_uden_facit,19,,,for lidt blaek,ok
273016_000364,ekstra_uden_facit,3,,,for lidt blaek,ok
273017_000200,ekstra_uden_facit,9,,,for lidt blaek,ok
273023_000884,ekstra_uden_facit,116,,,for lidt blaek,ok
273024_000262,ekstra_uden_facit,7,,,for lidt blaek,ok
273024_001127,ekstra_uden_facit,16,,,for lidt blaek,ok
273025_000112,ekstra_uden_facit,125,0.464,0.416,,ok
273025_000904,ekstra_uden_facit,91,,,for lidt blaek,ok
273025_001784,ekstra_uden_facit,119,0.428,0.455,,ok
273034_000808,ekstra_uden_facit,22,,,for lidt blaek,ok
273035_000244,ekstra_uden_facit,7,0.626,0.58,,ok
273035_001018,ekstra_uden_facit,32,,,for lidt blaek,ok
273036_000476,ekstra_uden_facit,132,0.682,0.658,,ok
273036_001330,ekstra_uden_facit,72,0.587,0.693,,ok
273037_000562,ekstra_uden_facit,27,,,for lidt blaek,ok
273045_000840,ekstra_uden_facit,2,,,for lidt blaek,ok
273046_000350,ekstra_uden_facit,67,,,for lidt blaek,ok
273046_001269,ekstra_uden_facit,64,0.39,0.484,,ok
273047_000580,ekstra_uden_facit,127,0.503,0.393,,ok
273048_000102,ekstra_uden_facit,5,,,for lidt blaek,ok
273048_000910,ekstra_uden_facit,7,0.286,0.388,,ok
273056_000952,ekstra_uden_facit,26,,,for lidt blaek,ok
273057_000498,ekstra_uden_facit,27,,,for lidt blaek,ok
273057_001382,ekstra_uden_facit,10,,,for lidt blaek,ok
273058_000692,ekstra_uden_facit,4,,,for lidt blaek,ok
273059_000110,ekstra_uden_facit,205,0.798,0.758,,ok
273059_001054,ekstra_uden_facit,162,0.641,0.679,,ok
273067_000906,ekstra_uden_facit,4,,,for lidt blaek,ok
273067_001910,ekstra_uden_facit,5,,,for lidt blaek,ok
273068_000711,ekstra_uden_facit,28,,,for lidt blaek,ok
273069_000072,ekstra_uden_facit,17,,,for lidt blaek,ok
273069_000948,ekstra_uden_facit,6,,,for lidt blaek,ok
273070_000212,ekstra_uden_facit,10,,,for lidt blaek,ok
273084_001224,ekstra_uden_facit,182,0.694,0.652,,ok
273085_000070,ekstra_uden_facit,27,0.674,0.525,,ok
273085_001208,ekstra_uden_facit,47,,,for lidt blaek,ok
273086_000042,ekstra_uden_facit,220,0.561,0.537,,ok
273086_001346,ekstra_uden_facit,112,0.525,0.548,,ok
273087_000496,ekstra_uden_facit,20,0.635,0.329,,ok
273095_001478,ekstra_uden_facit,102,0.487,0.555,,ok
273096_001232,ekstra_uden_facit,123,0.485,0.586,,ok
273097_000899,ekstra_uden_facit,63,0.624,0.489,,ok
273098_000446,ekstra_uden_facit,134,0.685,0.659,,ok
273099_000152,ekstra_uden_facit,40,0.498,0.3,,ok
273099_001340,ekstra_uden_facit,31,0.628,0.599,,ok
273106_001345,ekstra_uden_facit,8,0.795,0.462,,ok
273107_000971,ekstra_uden_facit,5,,,for lidt blaek,ok
273098_001472,proeve_LAAST,8,,,for lidt blaek,ok
273098_001473,proeve_LAAST,11,0.608,0.41,,ok
273098_001474,proeve_LAAST,37,,,for lidt blaek,ok
273099_001360,proeve_LAAST,10,,,for lidt blaek,ok
273099_001361,proeve_LAAST,88,0.59,0.477,,ok
273099_001362,proeve_LAAST,135,0.875,0.79,,ok
273099_001363,proeve_LAAST,14,,,for lidt blaek,ok
273099_001364,proeve_LAAST,7,,,for lidt blaek,ok
273099_001365,proeve_LAAST,20,,,for lidt blaek,ok
273099_001366,proeve_LAAST,7,,,for lidt blaek,ok
273100_001278,proeve_LAAST,29,,,for lidt blaek,ok
273100_001279,proeve_LAAST,24,,,for lidt blaek,ok
273100_001280,proeve_LAAST,10,,,for lidt blaek,ok
273100_001281,proeve_LAAST,19,,,for lidt blaek,ok
273100_001282,proeve_LAAST,16,,,for lidt blaek,ok
273100_001283,proeve_LAAST,23,,,for lidt blaek,ok
273100_001284,proeve_LAAST,15,,,for lidt blaek,ok
273101_001099,proeve_LAAST,23,,,for lidt blaek,ok
273101_001100,proeve_LAAST,44,0.776,0.675,,ok
273101_001101,proeve_LAAST,55,0.53,0.491,,ok
273101_001102,proeve_LAAST,11,,,for lidt blaek,ok
273101_001103,proeve_LAAST,15,,,for lidt blaek,ok
273101_001104,proeve_LAAST,11,,,for lidt blaek,ok
273101_001105,proeve_LAAST,103,,,for lidt blaek,ok
273101_001106,proeve_LAAST,37,,,for lidt blaek,ok
273101_001107,proeve_LAAST,2,,,for lidt blaek,ok
273101_001108,proeve_LAAST,14,0.94,0.584,,ok
273101_001109,proeve_LAAST,71,,,for lidt blaek,ok
273102_001072,proeve_LAAST,14,,,for lidt blaek,ok
273102_001073,proeve_LAAST,2,,,for lidt blaek,ok
273102_001074,proeve_LAAST,19,,,for lidt blaek,ok
273104_001559,proeve_LAAST,5,,,for lidt blaek,ok
273104_001560,proeve_LAAST,8,,,for lidt blaek,ok
273104_001561,proeve_LAAST,8,,,for lidt blaek,ok
273104_001562,proeve_LAAST,11,,,for lidt blaek,ok
273104_001563,proeve_LAAST,80,0.613,0.552,,ok
273104_001564,proeve_LAAST,9,,,for lidt blaek,ok
273104_001565,proeve_LAAST,26,,,for lidt blaek,ok
273104_001649,proeve_LAAST,65,0.602,0.573,,ok
273104_001650,proeve_LAAST,12,0.594,0.407,,ok
273104_001651,proeve_LAAST,30,0.736,0.152,,ok
273105_001628,proeve_LAAST,11,0.51,0.288,,ok
273105_001629,proeve_LAAST,25,,,for lidt blaek,ok
273105_001630,proeve_LAAST,8,,,for lidt blaek,ok
273105_001631,proeve_LAAST,49,0.645,0.724,,ok
273105_001632,proeve_LAAST,10,,,for lidt blaek,ok
273105_001633,proeve_LAAST,57,,,for lidt blaek,ok
273105_001634,proeve_LAAST,10,,,for lidt blaek,ok
273106_001617,proeve_LAAST,13,,,for lidt blaek,ok
