sbid;name;year;month;date_from;date_to;digital_version_url
273203;1905, Maj;1905;Maj;1905-05-01;1905-05-31;https://kbharkiv.dk/permalink/kildeviser/unit/273203
273204;1905, Juni;1905;Juni;1905-06-01;1905-06-30;https://kbharkiv.dk/permalink/kildeviser/unit/273204
273205;1905, Juli;1905;Juli;1905-07-01;1905-07-31;https://kbharkiv.dk/permalink/kildeviser/unit/273205
273206;1905, August;1905;August;1905-08-01;1905-08-31;https://kbharkiv.dk/permalink/kildeviser/unit/273206
273207;1905, September;1905;September;1905-09-01;1905-09-30;https://kbharkiv.dk/permalink/kildeviser/unit/273207
273208;1905, Oktober;1905;Oktober;1905-10-01;1905-10-31;https://kbharkiv.dk/permalink/kildeviser/unit/273208
273209;1905, November;1905;November;1905-11-01;1905-11-30;https://kbharkiv.dk/permalink/kildeviser/unit/273209
273210;1905, December;1905;December;1905-12-01;1905-12-31;https://kbharkiv.dk/permalink/kildeviser/unit/273210
273211;1906, Februar;1906;Februar;1906-02-01;1906-02-28;https://kbharkiv.dk/permalink/kildeviser/unit/273211
273212;1906, Marts;1906;Marts;1906-03-01;1906-03-31;https://kbharkiv.dk/permalink/kildeviser/unit/273212
273213;1906, April;1906;April;1906-04-01;1906-04-30;https://kbharkiv.dk/permalink/kildeviser/unit/273213
273214;1906, Maj;1906;Maj;1906-05-01;1906-05-31;https://kbharkiv.dk/permalink/kildeviser/unit/273214
273215;1906, Juni;1906;Juni;1906-06-01;1906-06-30;https://kbharkiv.dk/permalink/kildeviser/unit/273215
273216;1906, Juli;1906;Juli;1906-07-01;1906-07-31;https://kbharkiv.dk/permalink/kildeviser/unit/273216
273217;1906, August;1906;August;1906-08-01;1906-08-31;https://kbharkiv.dk/permalink/kildeviser/unit/273217
273218;1906, September;1906;September;1906-09-01;1906-09-30;https://kbharkiv.dk/permalink/kildeviser/unit/273218
273219;1906, Oktober;1906;Oktober;1906-10-01;1906-10-31;https://kbharkiv.dk/permalink/kildeviser/unit/273219
273220;1906, November;1906;November;1906-11-01;1906-11-30;https://kbharkiv.dk/permalink/kildeviser/unit/273220
273221;1906, December;1906;December;1906-12-01;1906-12-31;https://kbharkiv.dk/permalink/kildeviser/unit/273221
